log_file,strategy,final_equity,timestamp
run_2025-10-29_14-51.log,fast2_slow5,1.0286,2025-10-29_14-51
run_2025-10-29_14-53.log,fast2_slow5,1.0286,2025-10-29_14-53
run_2025-10-29_14-59.log,fast2_slow5,1.0286,2025-10-29_14-59
run_2025-10-29_15-06.log,fast2_slow5,1.0286,2025-10-29_15-06
run_2025-10-29_16-56.log,sweep_f5_s10_fee5_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f5_s10_fee0_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f5_s5_fee5_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f5_s5_fee0_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f3_s20_fee5_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f3_s20_fee0_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f3_s10_fee5_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f3_s10_fee0_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f3_s5_fee5_20251029_1656,1.0286,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f3_s5_fee0_20251029_1656,1.0291,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f2_s20_fee5_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f2_s20_fee0_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f2_s10_fee5_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f2_s10_fee0_20251029_1656,1.0,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f2_s5_fee5_20251029_1656,1.0286,2025-10-29_16-56
run_2025-10-29_16-56.log,sweep_f2_s5_fee0_20251029_1656,1.0291,2025-10-29_16-56
run_2025-10-29_16-57.log,sweep_f10_s20_fee5_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_16-57.log,sweep_f10_s20_fee0_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_16-57.log,sweep_f10_s10_fee0_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_16-57.log,sweep_f10_s10_fee5_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_16-57.log,sweep_f10_s5_fee0_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_16-57.log,sweep_f10_s5_fee5_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_16-57.log,sweep_f5_s20_fee5_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_16-57.log,sweep_f5_s20_fee0_20251029_1656,1.0,2025-10-29_16-57
run_2025-10-29_17-08.log,sweep_f2_s10_fee5_20251029_1708,1.0,2025-10-29_17-08
run_2025-10-29_17-08.log,sweep_f2_s10_fee0_20251029_1708,1.0,2025-10-29_17-08
run_2025-10-29_17-08.log,sweep_f2_s20_fee0_20251029_1708,1.0,2025-10-29_17-08
run_2025-10-29_17-08.log,sweep_f2_s5_fee0_20251029_1708,1.0291,2025-10-29_17-08
run_2025-10-29_17-08.log,sweep_f2_s5_fee5_20251029_1708,1.0286,2025-10-29_17-08
run_2025-10-29_17-09.log,sweep_f5_s10_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f10_s10_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f10_s5_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f10_s5_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f5_s20_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f10_s10_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f5_s20_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f5_s10_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f3_s10_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f5_s5_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f3_s20_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f3_s20_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f3_s10_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f3_s5_fee5_20251029_1708,1.0286,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f3_s5_fee0_20251029_1708,1.0291,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f2_s20_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f10_s20_fee0_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f5_s5_fee5_20251029_1708,1.0,2025-10-29_17-09
run_2025-10-29_17-09.log,sweep_f10_s20_fee5_20251029_1708,1.0,2025-10-29_17-09
